,id,label
0,n02099267_720,1
1,n02091467_3727,0
2,n02102973_1377,0
3,n02099712_357,0
4,n02091467_3849,1
5,n02097209_2924,1
6,n02097209_3423,1
7,n02097047_2470,0
8,n02110185_10273,0
9,n02087046_4832,0
10,n02091635_3479,0
11,n02101006_2026,0
12,n02089867_2039,0
13,n02087046_1989,1
14,n02101006_1934,1
15,n02106030_15631,0
16,n02097298_7371,1
17,n02091467_5592,0
18,n02094114_3458,1
19,n02099267_4562,0
20,n02100236_3289,0
21,n02100583_3383,0
22,n02097209_1,0
23,n02097209_2676,0
24,n02107908_7943,1
25,n02106030_17232,1
26,n02100236_3504,0
27,n02100877_4506,0
28,n02113624_1302,1
29,n02097298_2792,0
30,n02094114_699,1
31,n02106382_4532,0
32,n02100583_7522,0
33,n02110185_6409,1
34,n02106382_709,1
35,n02088364_8871,1
36,n02106382_1648,0
37,n02093647_1278,0
38,n02091635_452,0
39,n02087046_4614,0
40,n02105641_10280,1
41,n02093647_1870,0
42,n02094114_4294,1
43,n02097209_2502,0
44,n02105641_7650,1
45,n02093647_3453,0
46,n02088364_12745,0
47,n02099712_7411,1
48,n02100583_516,0
49,n02102973_457,0
50,n02110185_9712,0
51,n02096585_1281,1
52,n02106030_9339,1
53,n02106030_16338,1
54,n02088364_17167,0
55,n02091635_2014,0
56,n02097047_728,1
57,n02110185_6780,0
58,n02115641_2513,0
59,n02099267_913,0
60,n02099712_2224,0
61,n02106382_4243,0
62,n02113624_2595,1
63,n02102973_4794,0
64,n02101006_266,1
65,n02089867_2950,0
66,n02087046_4401,0
67,n02105641_4577,1
68,n02088364_12816,1
69,n02106030_5310,1
70,n02097047_5308,0
71,n02097209_3543,0
72,n02100236_4900,0
73,n02099712_8051,1
74,n02107908_451,1
75,n02099712_2226,0
76,n02096585_11427,1
77,n02100583_264,0
78,n02087046_4402,0
79,n02107908_7567,1
80,n02088364_6109,1
81,n02091467_1905,0
82,n02091467_7151,0
83,n02100236_5201,0
84,n02101006_1707,1
85,n02097298_7629,0
86,n02087046_5325,0
87,n02102973_2535,0
88,n02100583_10367,0
89,n02097209_3811,0
90,n02093647_2349,0
91,n02089867_2614,0
92,n02088364_2019,1
93,n02115641_4607,1
94,n02106382_3048,0
95,n02088364_5826,0
96,n02110185_9855,0
97,n02110185_11409,0
98,n02089867_2010,0
99,n02094114_3248,1
100,n02102973_720,0
101,n02094114_2779,1
102,n02100877_7033,0
103,n02087046_2058,1
104,n02102973_721,0
105,n02101006_2742,0
106,n02093647_356,0
107,n02097209_469,1
108,n02105641_3543,1
109,n02107908_3728,1
110,n02099267_3609,0
111,n02094114_4445,1
112,n02106030_14089,0
113,n02087046_568,0
114,n02089867_3126,0
115,n02106030_14738,1
116,n02091467_287,0
117,n02091467_481,1
118,n02091467_4049,1
119,n02115641_6577,0
120,n02107908_4669,1
121,n02105641_4833,1
122,n02105641_2918,1
123,n02113624_3714,0
124,n02097047_2937,0
125,n02097298_9217,1
126,n02087046_420,1
127,n02088364_14095,0
128,n02105641_8576,1
129,n02113624_265,1
130,n02113624_2224,1
131,n02097298_8452,0
132,n02102973_3978,0
133,n02091467_442,1
134,n02099712_9373,0
135,n02113624_3517,1
136,n02099267_1547,0
137,n02091467_872,1
138,n02097047_271,1
139,n02106382_3704,0
140,n02107908_3926,1
141,n02115641_12922,0
142,n02106382_2553,0
143,n02101006_2540,0
144,n02106382_1893,0
145,n02096585_1295,1
146,n02107908_6042,0
147,n02097047_3579,0
148,n02106030_2522,1
149,n02106382_469,0
150,n02099267_3185,0
151,n02096585_2560,1
152,n02100583_7904,0
153,n02097298_6681,0
154,n02107908_2555,0
155,n02099712_4133,1
156,n02089867_1082,0
157,n02091635_4698,0
158,n02101006_489,0
159,n02105641_8359,1
160,n02097047_674,1
161,n02096585_8065,0
162,n02115641_7898,1
163,n02094114_3060,1
164,n02097047_5644,1
165,n02100236_2591,0
166,n02107908_5371,0
167,n02091635_134,0
168,n02094114_513,1
169,n02094114_1852,1
170,n02115641_6575,0
171,n02093647_3335,0
172,n02097298_2976,0
173,n02091467_708,1
174,n02113624_7997,0
175,n02099712_3273,1
176,n02091467_3135,1
177,n02089867_3456,0
178,n02097209_3144,0
179,n02101006_338,1
180,n02100583_13524,0
181,n02097209_49,1
182,n02091635_863,1
183,n02087046_4370,1
184,n02099267_443,1
185,n02115641_1145,1
186,n02113624_6684,0
187,n02096585_4662,1
188,n02096585_3681,0
189,n02089867_3044,0
190,n02096585_11817,0
191,n02099712_6646,0
192,n02100236_556,0
193,n02100583_13297,0
194,n02088364_14863,0
195,n02107908_2543,0
196,n02088364_16721,0
197,n02110185_1164,0
198,n02106382_680,0
199,n02097047_3035,1
200,n02100877_7636,0
201,n02113624_1077,0
202,n02091635_335,0
203,n02093647_1905,0
204,n02094114_895,1
205,n02100236_4490,0
206,n02115641_13237,1
207,n02113624_3462,0
208,n02097298_6084,0
209,n02088364_12397,1
210,n02100236_1529,0
211,n02106030_1821,1
212,n02110185_11580,1
213,n02105641_678,1
214,n02105641_9319,1
215,n02113624_4087,0
216,n02107908_5402,1
217,n02096585_11180,0
218,n02102973_2904,0
219,n02099712_6684,0
220,n02110185_2446,0
221,n02094114_4519,1
222,n02089867_91,0
223,n02110185_3808,0
224,n02115641_5492,0
225,n02089867_266,0
226,n02100877_6728,0
227,n02099712_3500,1
228,n02110185_7879,0
229,n02097047_2289,1
230,n02097298_11133,0
231,n02088364_16695,1
232,n02093647_2376,0
233,n02100877_4704,0
234,n02113624_9199,1
235,n02097209_737,1
236,n02100236_965,0
237,n02097209_2714,0
238,n02100236_5956,0
239,n02097298_825,0
240,n02093647_1736,0
