,id,label
0,n02107908_3311,0
1,n02106030_17232,1
2,n02106030_16338,1
3,n02101006_1249,0
4,n02096585_6855,1
5,n02110185_11409,1
6,n02089867_3253,1
7,n02091467_4049,1
8,n02099712_6901,1
9,n02089867_3456,0
10,n02113624_9199,1
11,n02097047_2289,0
12,n02089867_1082,0
13,n02093647_3453,0
14,n02115641_12922,0
15,n02106030_5310,1
16,n02115641_5492,1
17,n02110185_11635,1
18,n02105641_309,1
19,n02088364_9825,0
20,n02100583_10367,0
21,n02091635_2014,1
22,n02102973_5064,0
23,n02110185_3808,0
24,n02097047_3035,1
25,n02107908_849,0
26,n02097209_3423,1
27,n02101006_2026,1
28,n02091467_442,1
29,n02091635_3479,0
30,n02097298_4485,1
31,n02097298_13452,1
32,n02106382_3704,0
33,n02100583_14263,1
34,n02106382_709,1
35,n02115641_5687,1
36,n02097047_5308,1
37,n02110185_11783,1
38,n02106382_1700,1
39,n02097209_2714,1
40,n02088364_2019,1
41,n02099267_4359,0
42,n02100583_13297,0
43,n02088364_1128,1
44,n02089867_2010,1
45,n02106382_4532,0
46,n02096585_11427,1
47,n02101006_338,1
48,n02110185_8154,0
49,n02100236_185,1
50,n02115641_13237,1
51,n02100877_1669,0
52,n02093647_1870,0
53,n02102973_1200,1
54,n02099712_6646,1
55,n02100877_4895,1
56,n02100877_3056,1
57,n02099267_443,1
58,n02102973_721,1
59,n02105641_678,1
60,n02115641_7898,1
61,n02093647_2941,1
62,n02094114_2779,1
63,n02087046_1792,1
64,n02106382_2195,1
65,n02113624_2224,1
66,n02106382_2553,1
67,n02107908_2608,1
68,n02106030_14089,1
69,n02100583_12216,0
70,n02115641_9686,1
71,n02100583_13524,1
72,n02091635_1860,0
73,n02107908_691,1
74,n02087046_4402,1
75,n02100236_1258,1
76,n02115641_4607,1
77,n02106382_865,0
78,n02113624_1302,0
79,n02102973_480,1
80,n02091467_3727,1
81,n02097209_2502,1
82,n02088364_14095,1
83,n02097298_9217,0
84,n02096585_11817,0
85,n02097298_8322,0
86,n02097298_2976,1
87,n02107908_7943,1
88,n02107908_4669,1
89,n02088364_17167,1
90,n02106382_469,1
91,n02100877_7636,1
92,n02115641_2513,1
93,n02097209_3811,1
94,n02091467_3135,1
95,n02091467_481,1
96,n02091635_335,1
97,n02089867_3133,1
98,n02100236_4900,1
99,n02100236_5836,1
100,n02087046_568,0
101,n02099712_2226,0
102,n02097047_2470,0
103,n02100877_6728,0
104,n02091635_4705,0
105,n02089867_266,0
106,n02097047_5644,0
107,n02094114_3060,0
108,n02096585_12716,1
109,n02115641_6575,1
110,n02101006_4253,1
111,n02102973_2904,1
112,n02100877_6852,1
113,n02088364_12816,1
114,n02107908_2555,0
115,n02113624_9574,1
116,n02099267_2259,1
117,n02099267_3185,1
118,n02100583_11119,1
119,n02113624_1077,1
120,n02088364_12745,1
121,n02096585_2560,1
122,n02113624_6684,1
123,n02087046_4614,1
124,n02100877_4704,1
125,n02107908_451,1
126,n02107908_7567,1
127,n02106382_680,1
128,n02102973_2286,1
129,n02097047_2937,1
130,n02097298_7371,1
131,n02115641_7119,1
132,n02094114_1847,0
133,n02097298_825,0
134,n02105641_10280,1
135,n02087046_4832,0
136,n02096585_1281,0
137,n02107908_5371,0
138,n02096585_1450,0
139,n02100877_648,1
140,n02091635_4698,1
141,n02093647_1247,1
142,n02100877_2599,0
143,n02101006_489,1
144,n02093647_630,0
145,n02100236_556,1
146,n02099712_8051,1
147,n02097047_674,1
148,n02099267_4562,1
149,n02099712_3273,1
150,n02105641_3543,1
151,n02100583_7522,1
152,n02097298_6681,1
153,n02094114_2631,1
154,n02113624_7997,1
155,n02100236_5956,1
156,n02099712_357,1
157,n02091467_872,1
158,n02102973_4794,1
159,n02091467_898,0
160,n02096585_1069,1
161,n02097209_737,1
162,n02110185_9712,0
163,n02105641_4833,0
164,n02100236_1529,0
165,n02100877_6926,1
166,n02091635_1319,1
167,n02097209_2477,0
168,n02087046_420,1
169,n02093647_2376,1
170,n02088364_14863,1
171,n02088364_4052,1
172,n02099267_3609,1
173,n02094114_3248,1
174,n02106030_2522,1
175,n02106030_19433,1
176,n02091467_5592,1
177,n02091635_863,0
178,n02113624_1063,1
179,n02089867_3126,1
180,n02087046_6003,1
181,n02097298_8452,1
182,n02097047_2511,1
183,n02096585_1295,1
184,n02110185_1164,1
185,n02102973_4597,1
186,n02100236_3289,0
187,n02101006_1707,1
188,n02094114_3458,0
189,n02106030_7895,1
190,n02099712_4508,1
191,n02101006_2742,0
192,n02099712_7411,1
193,n02093647_356,1
194,n02106030_15619,1
195,n02097209_3144,1
196,n02106030_15631,1
197,n02087046_5325,1
198,n02099712_6684,1
199,n02101006_1934,0
200,n02096585_210,0
201,n02100236_5834,1
202,n02099267_1547,0
203,n02087046_3543,1
204,n02096585_3681,1
205,n02099267_720,1
206,n02087046_2058,0
207,n02107908_3728,0
208,n02100583_3383,1
209,n02100877_7033,1
210,n02091635_3916,1
211,n02105641_7650,0
212,n02110185_12498,1
213,n02097298_11133,1
214,n02089867_2039,1
215,n02101006_1506,1
216,n02105641_9319,1
217,n02106382_3856,1
218,n02110185_11580,1
219,n02094114_2625,1
220,n02097209_2845,0
221,n02106030_14738,1
222,n02091467_3849,1
223,n02110185_6780,1
224,n02100236_5201,0
225,n02106382_1648,0
226,n02089867_2602,1
227,n02091635_2377,1
228,n02093647_2349,0
229,n02100583_516,1
230,n02096585_8065,0
231,n02093647_3335,1
232,n02099267_913,1
233,n02106382_3048,1
234,n02097047_1556,1
235,n02097047_3579,1
236,n02099712_4133,1
237,n02088364_16695,1
238,n02089867_3044,1
239,n02097047_728,0
240,n02107908_3926,1
241,n02110185_9855,0
242,n02113624_3517,1
243,n02113624_2595,1
244,n02101006_714,1
245,n02113624_4087,1
246,n02099267_3973,1
247,n02089867_2950,1
248,n02110185_6409,1
249,n02099712_7968,0
