,id,label
0,n02097047_2470,1
1,n02097047_271,1
2,n02097047_5257,1
3,n02097047_2289,0
4,n02097047_674,0
5,n02097047_2511,1
6,n02097047_3035,0
7,n02097047_728,0
8,n02097047_1352,1
9,n02097047_3579,1
10,n02097047_5644,0
11,n02097047_5308,1
12,n02097047_14,0
13,n02097047_1556,1
14,n02097047_2937,1
15,n02097209_3543,0
16,n02097209_1,1
17,n02097209_2477,0
18,n02097209_737,1
19,n02097209_49,0
20,n02097209_1963,1
21,n02097209_469,0
22,n02097209_3423,1
23,n02097209_2714,1
24,n02097209_2502,0
25,n02097209_2676,0
26,n02097209_2845,0
27,n02097209_3144,1
28,n02097209_3811,1
29,n02097209_2924,1
30,n02106382_3856,0
31,n02106382_1700,0
32,n02106382_2553,1
33,n02106382_865,1
34,n02106382_1648,0
35,n02106382_4532,0
36,n02106382_1311,1
37,n02106382_2195,1
38,n02106382_469,1
39,n02106382_680,1
40,n02106382_3704,0
41,n02106382_709,0
42,n02106382_3048,1
43,n02106382_1893,0
44,n02106382_4243,0
45,n02110185_12498,1
46,n02110185_1164,1
47,n02110185_8154,0
48,n02110185_9712,0
49,n02110185_6409,1
50,n02110185_9855,0
51,n02110185_6780,1
52,n02110185_11783,0
53,n02110185_3808,0
54,n02110185_7879,0
55,n02110185_11580,1
56,n02110185_11635,0
57,n02110185_2446,0
58,n02110185_10273,0
59,n02110185_11409,1
60,n02094114_2625,1
61,n02094114_2631,1
62,n02094114_1847,0
63,n02094114_699,1
64,n02094114_2779,1
65,n02094114_1852,1
66,n02094114_3248,1
67,n02094114_4519,1
68,n02094114_4294,1
69,n02094114_513,1
70,n02094114_3060,1
71,n02094114_3935,1
72,n02094114_895,1
73,n02094114_3458,0
74,n02094114_4445,0
75,n02091467_4049,0
76,n02091467_1643,0
77,n02091467_872,1
78,n02091467_3849,1
79,n02091467_5592,0
80,n02091467_287,0
81,n02091467_1905,1
82,n02091467_3135,1
83,n02091467_708,0
84,n02091467_7151,1
85,n02091467_898,0
86,n02091467_481,1
87,n02091467_3055,1
88,n02091467_3727,1
89,n02091467_442,1
90,n02100236_3705,1
91,n02100236_1258,1
92,n02100236_5956,0
93,n02100236_4490,0
94,n02100236_5201,1
95,n02100236_185,0
96,n02100236_2591,0
97,n02100236_556,1
98,n02100236_5836,0
99,n02100236_3289,0
100,n02100236_5834,1
101,n02100236_3504,0
102,n02100236_965,1
103,n02100236_4900,1
104,n02100236_1529,1
105,n02101006_1506,1
106,n02101006_1249,0
107,n02101006_2026,1
108,n02101006_489,1
109,n02101006_338,0
110,n02101006_3933,1
111,n02101006_714,0
112,n02101006_4253,1
113,n02101006_266,1
114,n02101006_299,0
115,n02101006_1707,1
116,n02101006_2232,0
117,n02101006_2540,1
118,n02101006_1934,1
119,n02101006_2742,0
120,n02100583_3383,0
121,n02100583_9902,1
122,n02100583_7522,1
123,n02100583_11119,1
124,n02100583_14263,0
125,n02100583_4228,1
126,n02100583_13524,1
127,n02100583_702,0
128,n02100583_12216,0
129,n02100583_10367,0
130,n02100583_516,1
131,n02100583_264,0
132,n02100583_2707,1
133,n02100583_7904,0
134,n02100583_13297,1
135,n02105641_9319,0
136,n02105641_309,1
137,n02105641_7650,0
138,n02105641_8359,1
139,n02105641_4577,1
140,n02105641_1618,1
141,n02105641_7902,0
142,n02105641_10280,1
143,n02105641_3543,1
144,n02105641_678,1
145,n02105641_8576,0
146,n02105641_4833,1
147,n02105641_8760,1
148,n02105641_2918,1
149,n02105641_7727,1
